"label","message"
"spam","Congratulations! You have won Rs.50,000 in our lucky draw. Call 9876543210 to claim your prize before the offer expires."
"spam","WINNER ALERT! Your mobile number has been selected for a Rs.1 Lakh Amazon Gift Card. Visit http://amzn-reward.xyz to claim now!"
"spam","You are our lucky winner this week! Claim your FREE iPhone 15 by clicking http://apple-gift.win before midnight tonight."
"spam","Dear Customer, your number won 3rd prize in Govt of India Lucky Draw. Prize: Rs.85,000. Contact claim officer at 8800991122."
"spam","KBC Lottery Winner! Amitabh Bachchan ke show mein aapka number select hua hai. Rs.25 Lakh jeete hain. Call: 9999888877"
"spam","You have been selected as a Google User Reward Program winner. Claim your Rs.15,000 gift card at http://google-rewards.tk"
"spam","FINAL NOTICE: Your Rs.30,000 prize from Paytm Cashback Lucky Draw expires TODAY. Redeem at http://paytm-lucky.xyz"
"spam","Aapka number Flipkart Mega Sale Lucky Draw mein select hua hai! Rs.10,000 voucher claim karo: http://fk-lucky.in"
"spam","Congratulations from BSNL! Your SIM was selected in our annual subscriber reward. Collect Rs.4,500 at your nearest store with ID proof."
"spam","You won! The 5th anniversary spin wheel has rewarded you Rs.7,777. Tap to collect: http://spinwin-cash.com/claim?ref=9876"
"spam","FREE GIFT! You are the 1,000,000th visitor. We are sending you a Samsung TV. Confirm delivery at http://samsung-free.xyz"
"spam","Your number ending 7890 has won Rs.2 Lakh in Jio Dhan Dhana Dhan offer. WhatsApp CLAIM to 9123456789"
"spam","LUCKY DRAW RESULT: Ticket #A4521 has won Rs.1,00,000. Claim by depositing Rs.500 processing fee at: http://luckydraw.win"
"spam","Amazon Spin & Win: You have won a Rs.5,000 Amazon Pay balance! Limited time offer. Claim: http://amzn-spin.xyz"
"spam","Govt of India Silver Jubilee Lottery - 2nd Prize Rs.50 Lakh. Your ticket number 45GHJ7. Call claim office: 011-8899776"
"spam","You have been chosen for our exclusive VIP reward. Rs.25,000 cash prize. No purchase needed. SMS YES to 56789"
"spam","Congratulations! SBI Credit Card user lucky draw winner - Rs.1 Lakh. Provide your card details at http://sbi-lucky.xyz"
"spam","WHATSAPP ANNIVERSARY: You won an iPhone 14 Pro. Forward to 10 friends and collect your prize at: http://wp-prize.com"
"spam","Paytm user! You have Rs.8,521 unclaimed cashback in your account. Claim within 24 hours: http://paytm-claim.xyz"
"spam","Your email ID has been selected by Microsoft for a reward of $1000. Send Rs.2000 as processing fee to claim."
"spam","Naya saal ki shubhkamnaon ke saath aapko Rs.15,000 ka gift milega! Claim karne ke liye click karein: http://newyear-gift.win"
"spam","HDFC Credit Card Lucky Draw Winner! You have won a round trip to Dubai. Confirm details: http://hdfc-lucky.net"
"spam","Airtel thanks you! You have accumulated 50,000 reward points worth Rs.5,000. Redeem immediately: http://airtel-points.xyz"
"spam","You are selected for a special government COVID relief fund of Rs.3,500. Collect by providing Aadhaar details to 9812345678."
"spam","PRIZE ALERT: Your number won in Reliance Jio 10th Anniversary Draw. Claim Rs.1,50,000 at: http://jio-prize.xyz/claim"
"spam","Your SBI account has been temporarily suspended due to incomplete KYC. Update now to avoid permanent closure: http://sbi-kyc.xyz"
"spam","HDFC Bank Alert: Your credit card ending 4521 has been blocked due to suspicious activity. Verify at http://hdfc-secure.net"
"spam","Dear Customer, your ICICI Bank OTP for NetBanking login will expire in 10 mins. If not requested by you, call 1800-200-3344 immediately."
"spam","ACTION REQUIRED: Your Axis Bank account will be deactivated in 24 hours. Complete KYC at http://axisbank-kyc.xyz"
"spam","Dear SBI User, your ATM card has been blocked. To unblock, verify your details: http://sbi-unblock.xyz OR call 9988776655"
"spam","PNB ALERT: Rs.45,000 has been debited from your account ending 3321. If not done by you, click http://pnb-dispute.xyz"
"spam","Your Kotak Mahindra Bank account requires immediate KYC update. Failure to comply may result in account freezing. Update: http://kotak-kyc.net"
"spam","URGENT - Bank of Baroda: Your debit card will expire today. Update card details immediately: http://bob-card-update.xyz"
"spam","Dear valued customer, your HDFC net banking password has been reset. If not done by you, secure your account: http://hdfc-alert.xyz"
"spam","SBI: Aapke account mein suspicious login detect hua hai. Account band hone se bachane ke liye verify karein: http://sbi-verify.xyz"
"spam","Your Federal Bank account shows unusual activity. Access will be restricted in 2 hours. Verify identity: http://federalbank-alert.net"
"spam","YES Bank: Dear customer, your linked mobile number needs re-verification for UPI transactions. Complete at: http://yesbank-upi.xyz"
"spam","Important: Your Canara Bank net banking will be disabled. Update PAN card details at branch or visit http://canarabank-pan.in"
"spam","ICICI Bank: Rs.1,23,450 is pending in your account from a refund. Claim by updating IFSC at http://icici-refund.xyz"
"spam","Your CIBIL score has dropped to 520. This may affect your loan eligibility. Fix it now for free: http://cibil-fix.net"
"spam","RBI ALERT: New regulation requires all account holders to link PAN by end of month. Else account will be frozen: http://rbi-pan.xyz"
"spam","Dear Customer, your Paytm wallet KYC is incomplete. Wallet will be deactivated in 48 hours. Complete at: http://paytm-kyc.in"
"spam","IDFC FIRST Bank: Your account has been flagged. To prevent suspension, verify your mobile and email: http://idfc-verify.net"
"spam","Your credit card payment of Rs.8,250 is overdue. Pay immediately to avoid legal action. Call: 9876000123 or visit http://cardpay.xyz"
"spam","Urgent! Your PhonePe account shows a suspicious transfer attempt of Rs.22,000. Verify and cancel at: http://phonepe-alert.xyz"
"spam","SBI YONO: Multiple failed login attempts detected on your account. Secure it now: http://sbi-yono.xyz"
"spam","Bank Notice: A cheque of Rs.50,000 issued from your account has bounced. You may face legal action. Call 011-44221133."
"spam","Dear User, your Google Pay UPI ID has been compromised. Change PIN immediately at: http://gpay-secure.xyz or call 1800-999-0000"
"spam","NEFT FAILED: Rs.15,500 transfer from your account could not be processed due to KYC mismatch. Update: http://neft-kyc.xyz"
"spam","Bajaj Finserv: Your EMI of Rs.3,200 failed. Account may be marked NPA. Pay now or contact 9090909090. Avoid CIBIL impact."
"spam","Your package from Amazon is on hold at customs. Pay Rs.350 clearance fee to release: http://amzn-customs.xyz"
"spam","DHL: Your shipment #DHL98743 could not be delivered. Reschedule at: http://dhl-rebook.xyz"
"spam","FedEx: Your parcel is held at our facility. Provide delivery address confirmation: http://fedex-confirm.net"
"spam","India Post: Parcel RX4521874IN is held at your local post office. Pay Rs.150 storage fee: http://indiapost-fee.xyz"
"spam","BlueDart: Your shipment is stuck due to incomplete address. Update within 24 hrs or it will be returned: http://bluedart-update.xyz"
"spam","Delhivery: Package arrived but address not found. Re-enter delivery address: http://delhivery-reattempt.net"
"spam","ECOM Express: Your order is held for Rs.199 customs duty. Pay to continue delivery: http://ecom-customs.xyz"
